 START MDET
  Title
  Li atom (numerical orbitals)
  Type
   MD
 8140
  -0.999237700000000E+00     1   0
  -0.284760000000000E-02     2   1
   0.249810000000000E-02     3   1
   0.389900000000000E-03     4   1
   0.240000000000000E-03     5   1
   0.214700000000000E-03     6   1
   0.180720000000000E-02     7   1
   0.918178155370732E-03     8   1
   0.918178155370732E-03     8   1
   0.461720651548820E-02     9   1
   0.230860325774410E-02     9   1
  -0.230860325774410E-02     9   1
   0.126996377901104E-03    10   1
   0.126996377901104E-03    10   1
   0.574731943315026E-03    11   1
   0.287365971657513E-03    11   1
  -0.287365971657513E-03    11   1
   0.164260905269635E-03    12   1
   0.164260905269635E-03    12   1
   0.728968147452274E-03    13   1
   0.364484073726137E-03    13   1
  -0.364484073726137E-03    13   1
   0.128905566210308E-03    14   1
   0.128905566210308E-03    14   1
   0.556524069560338E-03    15   1
   0.278262034780169E-03    15   1
  -0.278262034780169E-03    15   1
   0.104227539546897E-03    16   1
   0.104227539546897E-03    16   1
   0.444010840708497E-03    17   1
   0.222005420354249E-03    17   1
  -0.222005420354249E-03    17   1
  -0.773453061622574E-02    18   1
  -0.773453061622574E-02    18   1
  -0.773453061622574E-02    18   1
   0.441736897730614E-02    19   1
   0.441736897730614E-02    19   1
   0.441736897730614E-02    19   1
   0.441736897730614E-02    19   1
   0.441736897730614E-02    19   1
   0.441736897730614E-02    19   1
  -0.208535217862329E-02    20   1
  -0.208535217862329E-02    20   1
  -0.104267608931164E-02    20   1
  -0.104267608931164E-02    20   1
   0.104267608931164E-02    20   1
   0.104267608931164E-02    20   1
  -0.208535217862329E-02    20   1
  -0.104267608931164E-02    20   1
   0.104267608931164E-02    20   1
   0.176444911138482E-02    21   1
   0.176444911138482E-02    21   1
   0.176444911138482E-02    21   1
   0.176444911138482E-02    21   1
   0.176444911138482E-02    21   1
   0.176444911138482E-02    21   1
  -0.110077669649914E-02    22   1
  -0.110077669649914E-02    22   1
  -0.550388348249569E-03    22   1
  -0.550388348249569E-03    22   1
   0.550388348249569E-03    22   1
   0.550388348249569E-03    22   1
