 START MDET
  Title
  Ne atom (numerical orbitals)
  Type
   MD
30754
  -0.982471700000000E+00     1   0
  -0.835112702972878E-03     2   1
  -0.835112702972878E-03     2   1
  -0.835112702972878E-03     2   1
  -0.835112702972878E-03     2   1
   0.835112702972878E-03     2   1
   0.835112702972878E-03     2   1
  -0.168536733503906E-01     3   1
  -0.168536733503906E-01     3   1
  -0.168536733503906E-01     3   1
  -0.168536733503906E-01     3   1
   0.168536733503906E-01     3   1
   0.168536733503906E-01     3   1
  -0.141131434013357E-02     4   1
  -0.141131434013357E-02     4   1
  -0.141131434013357E-02     4   1
  -0.141131434013357E-02     4   1
   0.141131434013357E-02     4   1
   0.141131434013357E-02     4   1
  -0.837398893399476E-03     5   1
  -0.837398893399476E-03     5   1
  -0.837398893399476E-03     5   1
  -0.837398893399476E-03     5   1
   0.837398893399476E-03     5   1
   0.837398893399476E-03     5   1
   0.227435122617418E-02     6   1
   0.227435122617418E-02     6   1
   0.227435122617418E-02     6   1
   0.227435122617418E-02     6   1
  -0.227435122617418E-02     6   1
  -0.227435122617418E-02     6   1
   0.113812481215082E-01     7   1
   0.113812481215082E-01     7   1
   0.113812481215082E-01     7   1
   0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
  -0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.141388814285289E-02     8   1
   0.816308699880137E-03     8   1
   0.816308699880137E-03     8   1
  -0.163261739976027E-02     8   1
   0.816308699880137E-03     8   1
   0.816308699880137E-03     8   1
  -0.163261739976027E-02     8   1
  -0.290248204588188E-02     9   1
  -0.290248204588188E-02     9   1
  -0.290248204588188E-02     9   1
  -0.290248204588188E-02     9   1
  -0.290248204588188E-02     9   1
  -0.290248204588188E-02     9   1
   0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
  -0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.436022075272571E-02    10   1
   0.251737462531238E-02    10   1
   0.251737462531238E-02    10   1
  -0.503474925062477E-02    10   1
   0.251737462531238E-02    10   1
   0.251737462531238E-02    10   1
  -0.503474925062477E-02    10   1
   0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
  -0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.144503656977946E-02    11   1
   0.834292252551027E-03    11   1
   0.834292252551027E-03    11   1
  -0.166858450510205E-02    11   1
   0.834292252551027E-03    11   1
   0.834292252551027E-03    11   1
  -0.166858450510205E-02    11   1
  -0.518067080598642E-04    12   1
  -0.518067080598642E-04    12   1
  -0.518067080598642E-04    12   1
  -0.518067080598642E-04    12   1
  -0.518067080598642E-04    12   1
  -0.518067080598642E-04    12   1
  -0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
   0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.989236473245907E-03    13   1
  -0.571135944120720E-03    13   1
  -0.571135944120720E-03    13   1
   0.114227188824144E-02    13   1
  -0.571135944120720E-03    13   1
  -0.571135944120720E-03    13   1
   0.114227188824144E-02    13   1
  -0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
   0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.387510580500713E-03    14   1
  -0.223729337965915E-03    14   1
  -0.223729337965915E-03    14   1
   0.447458675931830E-03    14   1
  -0.223729337965915E-03    14   1
  -0.223729337965915E-03    14   1
   0.447458675931830E-03    14   1
  -0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
  -0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
   0.252899288255226E-04    15   1
  -0.252899288255226E-04    15   1
  -0.252899288255226E-04    15   1
  -0.252899288255226E-04    15   1
