Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
  1  4  1 -1
  1  2  0  0
  2  4  1  1
  1  4  1  1
  1  2  0  0
  2  4  1  1
  1  5  1  1
  1  2  0  0
  2  4  1 -1
  1  5  1 -1
  1  2  0  0
  2  5  1  1
  1  4  1  1
  1  2  0  0
  2  5  1 -1
  1  4  1 -1
  1  4  1  1
  2  5  1  1
  1  2  0  0
  1  4  1 -1
  2  5  1 -1
  1  2  0  0
  1  2  0  0
  2  4  1  0
  1  5  1  0
  1  2  0  0
  2  5  1  0
  1  4  1  0
  1  4  1  0
  2  5  1  0
  1  2  0  0
Radial grid (a.u.)
 1487
    0.000000000000000E+00
    0.335565465108561E-08
    0.675635097472065E-08
    0.102026935480970E-07
    0.136952950634157E-07
    0.172347764368116E-07
    0.208217669187396E-07
    0.244569042058440E-07
    0.281408345543276E-07
    0.318742128948439E-07
    0.356577029489306E-07
    0.394919773470066E-07
    0.433777177479525E-07
    0.473156149602957E-07
    0.513063690650233E-07
    0.553506895400424E-07
    0.594492953863113E-07
    0.636029152556644E-07
    0.678122875803511E-07
    0.720781607043158E-07
    0.764012930162379E-07
    0.807824530843591E-07
    0.852224197931193E-07
    0.897219824816271E-07
    0.942819410839891E-07
    0.989031062715222E-07
    0.103586299596875E-06
    0.108332353640085E-06
    0.113142112156592E-06
    0.118016430227245E-06
    0.122956174410317E-06
    0.127962222895562E-06
    0.133035465660338E-06
    0.138176804627834E-06
    0.143387153827406E-06
    0.148667439557079E-06
    0.154018600548223E-06
    0.159441588132442E-06
    0.164937366410700E-06
    0.170506912424721E-06
    0.176151216330688E-06
    0.181871281575272E-06
    0.187668125074025E-06
    0.193542777392171E-06
    0.199496282927817E-06
    0.205529700097627E-06
    0.211644101524988E-06
    0.217840574230702E-06
    0.224120219826237E-06
    0.230484154709572E-06
    0.236933510263669E-06
    0.243469433057611E-06
    0.250093085050445E-06
    0.256805643797746E-06
    0.263608302660972E-06
    0.270502271019613E-06
    0.277488774486204E-06
    0.284569055124204E-06
    0.291744371668820E-06
    0.299015999750780E-06
    0.306385232123116E-06
    0.313853378890994E-06
    0.321421767744617E-06
    0.329091744195272E-06
    0.336864671814529E-06
    0.344741932476658E-06
    0.352724926604302E-06
    0.360815073417442E-06
    0.369013811185708E-06
    0.377322597484074E-06
    0.385742909451988E-06
    0.394276244055977E-06
    0.402924118355779E-06
    0.411688069774045E-06
    0.420569656369666E-06
    0.429570457114761E-06
    0.438692072175391E-06
    0.447936123196035E-06
    0.457304253587889E-06
    0.466798128821029E-06
    0.476419436720500E-06
    0.486169887766380E-06
    0.496051215397870E-06
    0.506065176321462E-06
    0.516213550823250E-06
    0.526498143085429E-06
    0.536920781507045E-06
    0.547483319029045E-06
    0.558187633463697E-06
    0.569035627828427E-06
    0.580029230684136E-06
    0.591170396478065E-06
    0.602461105891254E-06
    0.613903366190668E-06
    0.625499211586053E-06
    0.637250703591575E-06
    0.649159931392319E-06
    0.661229012215705E-06
    0.673460091707888E-06
    0.685855344315214E-06
    0.698416973670793E-06
    0.711147212986261E-06
    0.724048325448802E-06
    0.737122604623500E-06
    0.750372374861087E-06
    0.763799991711168E-06
    0.777407842340992E-06
    0.791198345959846E-06
    0.805173954249137E-06
    0.819337151798259E-06
    0.833690456546301E-06
    0.848236420229688E-06
    0.862977628835829E-06
