Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.133916532573446E-01
    0.135691366480546E-01
    0.137489633573423E-01
    0.139311645613809E-01
    0.141157718510596E-01
    0.143028172358217E-01
    0.144923331473881E-01
    0.146843524433588E-01
    0.148789084106842E-01
    0.150760347689996E-01
    0.152757656738147E-01
    0.154781357195524E-01
    0.156831799424310E-01
    0.158909338231837E-01
    0.161014332896116E-01
    0.163147147189664E-01
    0.165308149401607E-01
    0.167497712358041E-01
    0.169716213440651E-01
    0.171964034603612E-01
    0.174241562388799E-01
    0.176549187939351E-01
    0.178887307011673E-01
    0.181256319985956E-01
    0.183656631875337E-01
    0.186088652333834E-01
    0.188552795663232E-01
    0.191049480819098E-01
    0.193579131416171E-01
    0.196142175733364E-01
    0.198739046718669E-01
    0.201370181994292E-01
    0.204036023862363E-01
    0.206737019311609E-01
    0.209473620025409E-01
    0.212246282391696E-01
    0.215055467515170E-01
    0.217901641232353E-01
    0.220785274130032E-01
    0.223706841567641E-01
    0.226666823704189E-01
    0.229665705530326E-01
    0.232703976906170E-01
    0.235782132605501E-01
    0.238900672366939E-01
    0.242060100952703E-01
    0.245260928215499E-01
    0.248503669174083E-01
    0.251788844097952E-01
    0.255116978601566E-01
    0.258488603748412E-01
    0.261904256165101E-01
    0.265364478165565E-01
    0.268869817885275E-01
    0.272420829425210E-01
    0.276018073005110E-01
    0.279662115125328E-01
    0.283353528736323E-01
    0.287092893414590E-01
    0.290880795543479E-01
    0.294717828497083E-01
    0.298604592825017E-01
    0.302541696435556E-01
    0.306529754774285E-01
    0.310569390995068E-01
    0.314661236119827E-01
    0.318805929183397E-01
    0.323004117359479E-01
    0.327256456063689E-01
    0.331563609029682E-01
    0.335926248354587E-01
    0.340345054510455E-01
    0.344820716319143E-01
    0.349353930889257E-01
    0.353945403515323E-01
    0.358595847541624E-01
    0.363305984196036E-01
    0.368076542403027E-01
    0.372908258589869E-01
    0.377801876506344E-01
    0.382758146290165E-01
    0.387777823254028E-01
    0.392861677043360E-01
    0.398010482480907E-01
    0.403225022373634E-01
    0.408506087453788E-01
    0.413854476718769E-01
    0.419270997526313E-01
    0.424756465365059E-01
    0.430311704006665E-01
    0.435937545660127E-01
    0.441634830638275E-01
    0.447404407664709E-01
    0.453247133890570E-01
    0.459163874900917E-01
    0.465155504743024E-01
    0.471222905973763E-01
    0.477366969668594E-01
    0.483588595452465E-01
    0.489888691522187E-01
    0.496268174668588E-01
    0.502727970295524E-01
    0.509269012432905E-01
    0.515892243750005E-01
    0.522598615573304E-01
    0.529389087868425E-01
    0.536264629260352E-01
    0.543226217036310E-01
    0.550274837141548E-01
    0.557411484174718E-01
    0.564637161379725E-01
    0.571952880634882E-01
    0.579359662438296E-01
    0.586858535887855E-01
    0.594450538662619E-01
    0.602136717001821E-01
    0.609918125666311E-01
    0.617795827906979E-01
    0.625770895425684E-01
    0.633844408331432E-01
    0.642017455091654E-01
    0.650291132478339E-01
    0.658666545508865E-01
    0.667144807383678E-01
    0.675727039407777E-01
    0.684414370922204E-01
    0.693207939219644E-01
    0.702108889456518E-01
    0.711118374557470E-01
    0.720237555111538E-01
    0.729467599267019E-01
    0.738809682614958E-01
    0.748264988065939E-01
    0.757834705720951E-01
    0.767520032732727E-01
    0.777322173158943E-01
    0.787242337807762E-01
    0.797281744073409E-01
    0.807441615767165E-01
    0.817723182932673E-01
    0.828127681655327E-01
    0.838656353861062E-01
    0.849310447104819E-01
    0.860091214348336E-01
    0.870999913727123E-01
    0.882037808306040E-01
    0.893206165823632E-01
    0.904506258422909E-01
    0.915939362371000E-01
    0.927506757766520E-01
    0.939209728232703E-01
    0.951049560597189E-01
    0.963027544557901E-01
    0.975144972334172E-01
    0.987403138303042E-01
    0.999803338620160E-01
    0.101234687082476E+00
    0.102503503342762E+00
    0.103786912548336E+00
    0.105085044614449E+00
    0.106398029419771E+00
    0.107725996758168E+00
    0.109069076288577E+00
    0.110427397482919E+00
    0.111801089571990E+00
    0.113190281489298E+00
    0.114595101812624E+00
    0.116015678703560E+00
    0.117452139844688E+00
    0.118904612374425E+00
    0.120373222819460E+00
    0.121858097024739E+00
    0.123359360080860E+00
    0.124877136248866E+00
    0.126411548882362E+00
    0.127962720346786E+00
    0.129530771935843E+00
    0.131115823785106E+00
    0.132717994782496E+00
    0.134337402475681E+00
    0.135974162976331E+00
    0.137628390861024E+00
    0.139300199068816E+00
    0.140989698795344E+00
    0.142696999383413E+00
    0.144422208209710E+00
    0.146165430568105E+00
    0.147926769548881E+00
    0.149706325914035E+00
    0.151504197968554E+00
    0.153320481427508E+00
    0.155155269278797E+00
    0.157008651641556E+00
    0.158880715620073E+00
    0.160771545152900E+00
    0.162681220857416E+00
    0.164609819869482E+00
    0.166557415678045E+00
    0.168524077954610E+00
    0.170509872377609E+00
    0.172514860451156E+00
    0.174539099318423E+00
    0.176582641569358E+00
    0.178645535042552E+00
    0.180727822621099E+00
    0.182829542022645E+00
    0.184950725583012E+00
    0.187091400033480E+00
    0.189251586271666E+00
    0.191431299125621E+00
    0.193630547111095E+00
    0.195849332181878E+00
    0.198087649473091E+00
    0.200345487036775E+00
    0.202622825570617E+00
    0.204919638138725E+00
    0.207235889884668E+00
    0.209571537736607E+00
    0.211926530104433E+00
    0.214300806568344E+00
    0.216694297559185E+00
    0.219106924030184E+00
    0.221538597119671E+00
    0.223989217805043E+00
    0.226458676547700E+00
    0.228946852928521E+00
    0.231453615273852E+00
    0.233978820272207E+00
    0.236522312580676E+00
    0.239083924421627E+00
    0.241663475169255E+00
    0.244260770925837E+00
    0.246875604087171E+00
    0.249507752898075E+00
    0.252156980996645E+00
    0.254823036947626E+00
    0.257505653764921E+00
    0.260204548422726E+00
    0.262919421355130E+00
    0.265649955944412E+00
    0.268395817997776E+00
    0.271156655211735E+00
    0.273932096625402E+00
    0.276721752061453E+00
    0.279525211554958E+00
    0.282342044770015E+00
    0.285171800404593E+00
    0.288014005582200E+00
    0.290868165231696E+00
    0.293733761454622E+00
    0.296610252879743E+00
    0.299497074005161E+00
    0.302393634528368E+00
    0.305299318663362E+00
    0.308213484445242E+00
    0.311135463022991E+00
    0.314064557939105E+00
    0.317000044397204E+00
    0.319941168517551E+00
    0.322887146580627E+00
    0.325837164257824E+00
    0.328790375832010E+00
    0.331745903405562E+00
    0.334702836097259E+00
    0.337660229228422E+00
    0.340617103498393E+00
    0.343572444148981E+00
    0.346525200119427E+00
    0.349474283191860E+00
    0.352418567126616E+00
    0.355356886789983E+00
    0.358288037273559E+00
    0.361210773005782E+00
    0.364123806856339E+00
    0.367025809235497E+00
    0.369915407186037E+00
    0.372791183471524E+00
    0.375651675660527E+00
    0.378495375207449E+00
    0.381320726530834E+00
    0.384126126092129E+00
    0.386909921473311E+00
    0.389670410455800E+00
    0.392405840102569E+00
    0.395114405843224E+00
    0.397794250564228E+00
    0.400443463706076E+00
    0.403060080369153E+00
    0.405642080426985E+00
    0.408187387654769E+00
    0.410693868869323E+00
    0.413159333084828E+00
    0.415581530686299E+00
    0.417958152623436E+00
    0.420286829625096E+00
    0.422565131439343E+00
    0.424790566100756E+00
    0.426960579226077E+00
    0.429072553343809E+00
    0.431123807260001E+00
    0.433111595461920E+00
    0.435033107563644E+00
    0.436885467799650E+00
    0.438665734564451E+00
    0.440370900007111E+00
    0.441997889682891E+00
    0.443543562266262E+00
    0.445004709328946E+00
    0.446378055190389E+00
    0.447660256842509E+00
    0.448847903954435E+00
    0.449937518966417E+00
    0.450925557273410E+00
    0.451808407503712E+00
    0.452582391904312E+00
    0.453243766834215E+00
    0.453788723380008E+00
    0.454213388088209E+00
    0.454513823832118E+00
    0.454686030816908E+00
    0.454725947729625E+00
    0.454629453061513E+00
    0.454392366564012E+00
    0.454010450897411E+00
    0.453479413453589E+00
    0.452794908380979E+00
    0.451952538808418E+00
    0.450947859265950E+00
    0.449776378343367E+00
    0.448433561567159E+00
    0.446914834568486E+00
    0.445215586450765E+00
    0.443331173446379E+00
    0.441256922858808E+00
    0.438988137283295E+00
    0.436520099200985E+00
    0.433848075784469E+00
    0.430967324104878E+00
    0.427873096659006E+00
    0.424560647283574E+00
    0.421025237450345E+00
    0.417262142877148E+00
    0.413266660599169E+00
    0.409034116421309E+00
    0.404559872864380E+00
    0.399839337475179E+00
    0.394867971606523E+00
    0.389641299680532E+00
    0.384154918906689E+00
    0.378404509565481E+00
    0.372385845681344E+00
    0.366094806278841E+00
    0.359527387151219E+00
    0.352679713153270E+00
    0.345548051024141E+00
    0.338128822805288E+00
    0.330418619782965E+00
    0.322414217043964E+00
    0.314112588456930E+00
    0.305510922379491E+00
    0.296606637946216E+00
    0.287397401877479E+00
    0.277881146026617E+00
    0.268056084956156E+00
    0.257920734914343E+00
    0.247473932927645E+00
    0.236714856617716E+00
    0.225643044531068E+00
    0.214258416707056E+00
    0.202561296643198E+00
    0.190552433234637E+00
    0.178233023562844E+00
    0.165604735731611E+00
    0.152669732681648E+00
    0.139430696707915E+00
    0.125890854168994E+00
    0.112054000957077E+00
    0.979245278295411E-01
    0.835074470944015E-01
    0.688084192860104E-01
    0.538337803009576E-01
    0.385905689519686E-01
    0.230865550447438E-01
    0.733026745682212E-02
   -0.866897728490327E-02
   -0.249010465147044E-01
   -0.413549619140982E-01
   -0.580188704456658E-01
   -0.748800159564659E-01
   -0.919247100334116E-01
   -0.109138304117547E+00
   -0.126505158537999E+00
   -0.144008616522948E+00
   -0.161630976778562E+00
   -0.179353466981630E+00
   -0.197156218812412E+00
   -0.215018240335250E+00
   -0.232917396602587E+00
   -0.250830387501915E+00
   -0.268732729086969E+00
   -0.286598735853054E+00
   -0.304401506054639E+00
   -0.322112912053898E+00
   -0.339703592153343E+00
   -0.357142946576450E+00
   -0.374399138647020E+00
   -0.391439099601755E+00
   -0.408228539067135E+00
   -0.424731961234692E+00
   -0.440912685614290E+00
   -0.456732884153641E+00
   -0.472153610358965E+00
   -0.487134846151284E+00
   -0.501635552818740E+00
   -0.515613736746125E+00
   -0.529026526304379E+00
   -0.541830244028529E+00
   -0.553980501838639E+00
   -0.565432298527090E+00
   -0.576140149611310E+00
   -0.586058204625714E+00
   -0.595140381511681E+00
   -0.603340518438774E+00
   -0.610612528555578E+00
   -0.616910598195269E+00
   -0.622189349997225E+00
   -0.626404047162382E+00
   -0.629510801774333E+00
   -0.631466796315760E+00
   -0.632230518549377E+00
   -0.631761996501071E+00
   -0.630023049794600E+00
   -0.626977551228054E+00
   -0.622591679259745E+00
   -0.616834191987292E+00
   -0.609676704979955E+00
   -0.601093964466059E+00
   -0.591064142477149E+00
   -0.579569048280032E+00
   -0.566594455807213E+00
   -0.552130355931763E+00
   -0.536171222152507E+00
   -0.518716253985455E+00
   -0.499769550704025E+00
   -0.479340406525842E+00
   -0.457443488831284E+00
   -0.434099045112537E+00
   -0.409332997231609E+00
   -0.383177086845580E+00
   -0.355669022667442E+00
   -0.326852539153001E+00
   -0.296777475303904E+00
   -0.265499675366919E+00
   -0.233081054724517E+00
   -0.199589522964314E+00
   -0.165098881319916E+00
   -0.129688684272940E+00
   -0.934440353691100E-01
   -0.564553926049671E-01
   -0.188182986907196E-01
    0.193669432166034E-01
    0.579955592672810E-01
    0.969586794844804E-01
    0.136143807533551E+00
    0.175435253671640E+00
    0.214714719629733E+00
    0.253861508554110E+00
    0.292753301420754E+00
    0.331266713322283E+00
    0.369277890658949E+00
    0.406663203559684E+00
    0.443299362275640E+00
    0.479064575397589E+00
    0.513839029106000E+00
    0.547505638149152E+00
    0.579950436735941E+00
    0.611063056473367E+00
    0.640737702708663E+00
    0.668873607515483E+00
    0.695375789959412E+00
    0.720154995782898E+00
    0.743128590200788E+00
    0.764221062385019E+00
    0.783364403989998E+00
    0.800498615304643E+00
    0.815571510102422E+00
    0.828539520622143E+00
    0.839367779366623E+00
    0.848030307490022E+00
    0.854510121363492E+00
    0.858799274518120E+00
    0.860898905795445E+00
    0.860819177233752E+00
    0.858579031653832E+00
    0.854206428220950E+00
    0.847737910783054E+00
    0.839218257131957E+00
    0.828700213931444E+00
    0.816243718528351E+00
    0.801916912836721E+00
    0.785794348662396E+00
    0.767956876695350E+00
    0.748490914010120E+00
    0.727488138152928E+00
    0.705045779851466E+00
    0.681264785623025E+00
    0.656249607879798E+00
    0.630107095989566E+00
    0.602947199639117E+00
    0.574881824436110E+00
    0.546023693073290E+00
    0.516485995853060E+00
    0.486381077906442E+00
    0.455822198184120E+00
    0.424920879676770E+00
    0.393786860735977E+00
    0.362527458326165E+00
    0.331247155611378E+00
    0.300048225436506E+00
    0.269028991007118E+00
    0.238283866063058E+00
    0.207902815556747E+00
    0.177971578717460E+00
    0.148571323898974E+00
    0.119778109857146E+00
    0.916628564954075E-01
    0.642911996823309E-01
    0.377234450162982E-01
    0.120144813629703E-01
   -0.127862272963978E-01
   -0.366345551502668E-01
   -0.594916096842406E-01
   -0.813243528841306E-01
   -0.102104690139989E+00
   -0.121809570478084E+00
   -0.140420502634588E+00
   -0.157924118226327E+00
   -0.174312058390783E+00
   -0.189580014380313E+00
   -0.203727786032272E+00
   -0.216758378308451E+00
   -0.228679824728911E+00
   -0.239503380061367E+00
   -0.249243357781925E+00
   -0.257916897821448E+00
   -0.265543353656639E+00
   -0.272146199079302E+00
   -0.277750533310850E+00
   -0.282383508020490E+00
   -0.286073747790677E+00
   -0.288851848147789E+00
   -0.290750594493102E+00
   -0.291803652287693E+00
   -0.292045781594567E+00
   -0.291512212075542E+00
   -0.290239834941723E+00
   -0.288266162778018E+00
   -0.285629101764441E+00
   -0.282366933667884E+00
   -0.278517954871084E+00
   -0.274121397771569E+00
   -0.269216320215569E+00
   -0.263841808470114E+00
   -0.258036847602900E+00
   -0.251840324415335E+00
   -0.245291073151716E+00
   -0.238427612651801E+00
   -0.231288155134465E+00
   -0.223910605102867E+00
   -0.216332346499250E+00
   -0.208590278422656E+00
   -0.200720798070703E+00
   -0.192759729303447E+00
   -0.184742475675393E+00
   -0.176703264154113E+00
   -0.168675756203112E+00
   -0.160692805977456E+00
   -0.152786497798530E+00
   -0.144987976907128E+00
   -0.137326998359482E+00
   -0.129832419486319E+00
   -0.122531953883195E+00
   -0.115452298739593E+00
   -0.108618531513560E+00
   -0.102054245501084E+00
   -0.957816838492383E-01
   -0.898215604147352E-01
   -0.841932533231501E-01
   -0.789138567022391E-01
   -0.739988914846279E-01
   -0.694620549706033E-01
   -0.653152067086436E-01
   -0.615682833840872E-01
   -0.582288301534641E-01
   -0.553024694843415E-01
   -0.527927008943482E-01
   -0.507009798825412E-01
   -0.490264159957399E-01
   -0.477658107706451E-01
   -0.469138332730784E-01
   -0.464629528156245E-01
   -0.464035947769343E-01
   -0.467237452718006E-01
   -0.474093541030989E-01
   -0.484443380081133E-01
   -0.498106646472865E-01
   -0.514884615189181E-01
   -0.534558422888625E-01
   -0.556893335666652E-01
   -0.581639103933530E-01
   -0.608532034810493E-01
   -0.637295032122936E-01
   -0.667639077351766E-01
   -0.699266491921395E-01
   -0.731872222354408E-01
   -0.765146892729932E-01
   -0.798775404074131E-01
   -0.832441596957325E-01
   -0.865830233257623E-01
   -0.898629123233332E-01
   -0.930531898914872E-01
   -0.961236637410440E-01
   -0.990451729650357E-01
   -0.101789690487640E+00
   -0.104330591492442E+00
   -0.106642724946756E+00
   -0.108702527181737E+00
   -0.110488397460098E+00
   -0.111980792245186E+00
   -0.113162462308561E+00
   -0.114018327705086E+00
   -0.114535765273878E+00
   -0.114704723643814E+00
   -0.114517779715097E+00
   -0.113970239429373E+00
   -0.113059985514988E+00
   -0.111787672909894E+00
   -0.110156664310878E+00
   -0.108172992476653E+00
   -0.105845307677219E+00
   -0.103184804282375E+00
   -0.100205101923198E+00
   -0.969221247990031E-01
   -0.933538848199995E-01
   -0.895205187852743E-01
   -0.854439935800379E-01
   -0.811478633365943E-01
   -0.766570818125513E-01
   -0.719975874277645E-01
   -0.671967130379277E-01
   -0.622823298572017E-01
   -0.572827683431930E-01
   -0.522264724779346E-01
   -0.471418531502037E-01
   -0.420574164830333E-01
   -0.370009746072937E-01
   -0.319995822641674E-01
   -0.270791014459093E-01
   -0.222645492195834E-01
   -0.175796773477913E-01
   -0.130465693933395E-01
   -0.868558734672551E-02
   -0.451494063765635E-02
   -0.551503258287440E-03
    0.319012483814471E-02
    0.669749853050921E-02
    0.996042384384878E-02
    0.129709637378492E-01
    0.157230671104461E-01
    0.182130176986320E-01
    0.204392476604921E-01
    0.224023167623302E-01
    0.241047238692187E-01
    0.255508223094759E-01
    0.267467653784874E-01
    0.277003420005748E-01
    0.284207407017669E-01
    0.289186691508610E-01
    0.292059518556920E-01
    0.292953912602903E-01
    0.292005488857614E-01
    0.289355243233771E-01
    0.285153091040165E-01
    0.279550042285676E-01
    0.272698282702651E-01
    0.264747744463860E-01
    0.255848618310027E-01
    0.246150365794707E-01
    0.235796298800980E-01
    0.224923925955852E-01
    0.213661043355151E-01
    0.202133568985821E-01
    0.190458154974935E-01
    0.178741933778386E-01
    0.167082260783321E-01
    0.155565295190053E-01
    0.144272219584158E-01
    0.133272480814718E-01
    0.122625832245400E-01
    0.112382016064458E-01
    0.102582070468714E-01
    0.932593309364946E-02
    0.844383429421011E-02
    0.761359730428939E-02
    0.683623618871599E-02
    0.611205096553726E-02
    0.544076643817381E-02
    0.482160963784947E-02
    0.425338125342118E-02
    0.373463797434584E-02
    0.326328580093889E-02
    0.283711597815676E-02
    0.245373352885604E-02
    0.211070107418018E-02
    0.180545315918192E-02
    0.153514117323017E-02
    0.129704309456665E-02
    0.108848090166084E-02
    0.906995897275690E-03
    0.749976649836877E-03
    0.614901573329834E-03
    0.499441811717429E-03
    0.401420813114701E-03
    0.318955120993614E-03
    0.250015962753077E-03
    0.192852684955913E-03
    0.145875115729877E-03
    0.107672480884832E-03
    0.769860713401637E-04
    0.526202989996123E-04
    0.335528722311067E-04
    0.188878961291420E-04
    0.784511595805136E-05
   -0.246099127646854E-06
   -0.595904063239164E-05
   -0.978204291419686E-05
   -0.121280931672828E-04
   -0.133765118223302E-04
   -0.137784490023790E-04
   -0.135588364201377E-04
   -0.129030018087510E-04
   -0.119754550462847E-04
   -0.109212855858534E-04
   -0.978707994111572E-05
   -0.863243450069222E-05
   -0.750200968230969E-05
   -0.645055454876045E-05
   -0.549474222610215E-05
   -0.462585131803092E-05
   -0.384553089871616E-05
   -0.315375525566562E-05
   -0.257301467173495E-05
   -0.207806798445935E-05
   -0.165628904594544E-05
   -0.129885770974483E-05
   -0.100137013076158E-05
   -0.766451744947021E-06
   -0.575070774447803E-06
   -0.419361550367198E-06
   -0.292924445876961E-06
   -0.192623405484490E-06
   -0.114831568182557E-06
   -0.548921577490072E-07
   -0.106884456224647E-07
    0.190860436107518E-07
    0.308263223937424E-07
    0.299567073725025E-07
    0.207868081412114E-07
    0.710124086166131E-08
   -0.637471983359952E-08
   -0.118722002596102E-07
   -0.129580502771841E-07
   -0.984670612228440E-08
   -0.370478161137860E-08
    0.174739605302241E-08
    0.423253191788154E-08
    0.537294098769808E-08
    0.502912008056019E-08
    0.344817766448763E-08
    0.266906930452843E-08
    0.214417951148178E-08
    0.152833890067787E-08
    0.918446564784914E-09
    0.396955626306771E-09
    0.293400509267003E-10
   -0.166351037293492E-09
   -0.196871868681774E-09
   -0.987958944959110E-10
    0.139200727828014E-10
    0.465186938082741E-10
    0.608751373585437E-10
    0.490886926586588E-10
    0.137339852426557E-10
    0.124492434433527E-11
    0.186403993201170E-11
Orbital #  5 [ 2p]
  0  2  1
    0.000000000000000E+00
    0.733509919692683E-16
    0.297355431323513E-15
    0.678080341544073E-15
    0.122178349532607E-14
    0.193491892917996E-14
    0.282414261189306E-14
    0.389631827107394E-14
    0.515852338211759E-14
    0.661805532404726E-14
    0.828243770681043E-14
    0.101594268747308E-13
    0.122570185909463E-13
    0.145834549077939E-13
    0.171472312282390E-13
    0.199571035635826E-13
    0.230220959928255E-13
    0.263515083292127E-13
    0.299549239996311E-13
    0.338422181426914E-13
    0.380235659314787E-13
    0.425094511271229E-13
    0.473106748695064E-13
    0.524383647115961E-13
    0.579039839040681E-13
    0.637193409370678E-13
    0.698965993461421E-13
    0.764482877895639E-13
    0.833873104044714E-13
    0.907269574494443E-13
    0.984809162413433E-13
    0.106663282394458E-12
    0.115288571370223E-12
    0.124371730345982E-12
    0.133928150411524E-12
    0.143973679102336E-12
    0.154524633278773E-12
    0.165597812360585E-12
    0.177210511926506E-12
    0.189380537688875E-12
    0.202126219853510E-12
    0.215466427875366E-12
    0.229420585620765E-12
    0.244008686947296E-12
    0.259251311712775E-12
    0.275169642224970E-12
    0.291785480144112E-12
    0.309121263850539E-12
    0.327200086290153E-12
    0.346045713310721E-12
    0.365682602502396E-12
    0.386135922556198E-12
    0.407431573154590E-12
    0.429596205408612E-12
    0.452657242856511E-12
    0.476642903039121E-12
    0.501582219667738E-12
    0.527505065400606E-12
    0.554442175244603E-12
    0.582425170599148E-12
    0.611486583959812E-12
    0.641659884299605E-12
    0.672979503146383E-12
    0.705480861375315E-12
    0.739200396735897E-12
    0.774175592133475E-12
    0.810445004685837E-12
    0.848048295575948E-12
    0.887026260722489E-12
    0.927420862290468E-12
    0.969275261064735E-12
    0.101263384970988E-11
    0.105754228694063E-11
    0.110404753262750E-11
    0.115219788386314E-11
    0.120204301201546E-11
    0.125363400079448E-11
    0.130702338536029E-11
    0.136226519250056E-11
    0.141941498190668E-11
    0.147852988857822E-11
    0.153966866638666E-11
    0.160289173282959E-11
    0.166826121500798E-11
    0.173584099685958E-11
    0.180569676768273E-11
    0.187789607198548E-11
    0.195250836069618E-11
    0.202960504377238E-11
    0.210925954424618E-11
    0.219154735374486E-11
    0.227654608952705E-11
    0.236433555307548E-11
    0.245499779028857E-11
    0.254861715331437E-11
    0.264528036407135E-11
    0.274507657950190E-11
    0.284809745860556E-11
    0.295443723130029E-11
    0.306419276916140E-11
    0.317746365808914E-11
    0.329435227295726E-11
    0.341496385429633E-11
    0.353940658706704E-11
    0.366779168158019E-11
    0.380023345662163E-11
    0.393684942484197E-11
    0.407776038047253E-11
    0.422309048943065E-11
    0.437296738187914E-11
    0.452752224730651E-11
    0.468688993219635E-11
    0.485120904035601E-11
    0.502062203597687E-11
    0.519527534950015E-11
    0.537531948636445E-11
    0.556090913871309E-11
    0.575220330014159E-11
    0.594936538356772E-11
    0.615256334230877E-11
    0.636196979445305E-11
    0.657776215061486E-11
    0.680012274516480E-11
    0.702923897102950E-11
    0.726530341815771E-11
    0.750851401575191E-11
    0.775907417836782E-11
    0.801719295598636E-11
    0.828308518816598E-11
    0.855697166238583E-11
    0.883907927669336E-11
    0.912964120677317E-11
    0.942889707755662E-11
    0.973709313949569E-11
    0.100544824496271E-10
    0.103813250575567E-10
    0.107178881964977E-10
    0.110644464794985E-10
    0.114212821010034E-10
    0.117886850438868E-10
    0.121669532921132E-10
    0.125563930491724E-10
    0.129573189624480E-10
    0.133700543536796E-10
    0.137949314556830E-10
    0.142322916554996E-10
    0.146824857441470E-10
    0.151458741731521E-10
    0.156228273180477E-10
    0.161137257490235E-10
    0.166189605089244E-10
    0.171389333987946E-10
    0.176740572711726E-10
    0.182247563313471E-10
    0.187914664467886E-10
    0.193746354649788E-10
    0.199747235398652E-10
    0.205922034671741E-10
    0.212275610288223E-10
    0.218812953466731E-10
    0.225539192458910E-10
    0.232459596281540E-10
    0.239579578549897E-10
    0.246904701415117E-10
    0.254440679608356E-10
    0.262193384594643E-10
    0.270168848839405E-10
    0.278373270190707E-10
    0.286813016380333E-10
    0.295494629646948E-10
    0.304424831484614E-10
    0.313610527520083E-10
    0.323058812522331E-10
    0.332776975547934E-10
    0.342772505225938E-10
    0.353053095186019E-10
    0.363626649633804E-10
    0.374501289077340E-10
    0.385685356208791E-10
    0.397187421945577E-10
    0.409016291635270E-10
    0.421181011428665E-10
    0.433690874825600E-10
    0.446555429398173E-10
    0.459784483696184E-10
    0.473388114339716E-10
    0.487376673303925E-10
    0.501760795401241E-10
    0.516551405966318E-10
    0.531759728749231E-10
    0.547397294022536E-10
    0.563475946908003E-10
    0.580007855928945E-10
    0.597005521794262E-10
    0.614481786420463E-10
    0.632449842198109E-10
    0.650923241509287E-10
    0.669915906502906E-10
    0.689442139134800E-10
    0.709516631479788E-10
    0.730154476323067E-10
    0.751371178038472E-10
    0.773182663761395E-10
    0.795605294864301E-10
    0.818655878743056E-10
    0.842351680922457E-10
    0.866710437489611E-10
    0.891750367864022E-10
    0.917490187913506E-10
    0.943949123425282E-10
    0.971146923941849E-10
    0.999103876971510E-10
    0.102784082258370E-09
    0.105737916839949E-09
    0.108774090498802E-09
    0.111894862167972E-09
    0.115102552280778E-09
    0.118399544438924E-09
    0.121788287125778E-09
    0.125271295466031E-09
    0.128851153032989E-09
    0.132530513704804E-09
    0.136312103570943E-09
    0.140198722890267E-09
    0.144193248102127E-09
    0.148298633891880E-09
    0.152517915312330E-09
    0.156854209962588E-09
    0.161310720225903E-09
    0.165890735568070E-09
    0.170597634898049E-09
    0.175434888992464E-09
    0.180406062985735E-09
    0.185514818927598E-09
    0.190764918409840E-09
    0.196160225264126E-09
    0.201704708332833E-09
    0.207402444314880E-09
    0.213257620688554E-09
    0.219274538713449E-09
    0.225457616513629E-09
    0.231811392244228E-09
    0.238340527343736E-09
    0.245049809874288E-09
    0.251944157952345E-09
    0.259028623272195E-09
    0.266308394724794E-09
    0.273788802114537E-09
    0.281475319976571E-09
    0.289373571497417E-09
    0.297489332541645E-09
    0.305828535787515E-09
    0.314397274974495E-09
    0.323201809265699E-09
    0.332248567728353E-09
    0.341544153935471E-09
    0.351095350692021E-09
    0.360909124888957E-09
    0.370992632488563E-09
    0.381353223644656E-09
    0.391998447961311E-09
    0.402936059893843E-09
    0.414174024295881E-09
    0.425720522116509E-09
    0.437583956251513E-09
    0.449772957552901E-09
    0.462296391000984E-09
    0.475163362043412E-09
    0.488383223105666E-09
    0.501965580277660E-09
    0.515920300181195E-09
    0.530257517023178E-09
    0.544987639839599E-09
    0.560121359935454E-09
    0.575669658525884E-09
    0.591643814583987E-09
    0.608055412900887E-09
    0.624916352363795E-09
    0.642238854457955E-09
    0.660035471998529E-09
    0.678319098098642E-09
    0.697102975379962E-09
    0.716400705432380E-09
    0.736226258529513E-09
    0.756593983606964E-09
    0.777518618510419E-09
    0.799015300520899E-09
    0.821099577164638E-09
    0.843787417315296E-09
    0.867095222596402E-09
    0.891039839092150E-09
    0.915638569374870E-09
    0.940909184857748E-09
    0.966869938481588E-09
    0.993539577744626E-09
    0.102093735808469E-08
    0.104908305662323E-08
    0.107799698628097E-08
    0.110770001027528E-08
    0.113821355700956E-08
    0.116955963536515E-08
    0.120176085040686E-08
    0.123484041951301E-08
    0.126882218894179E-08
    0.130373065084535E-08
    0.133959096074410E-08
    0.137642895547339E-08
    0.141427117161547E-08
    0.145314486442977E-08
    0.149307802729507E-08
    0.153409941167727E-08
    0.157623854763710E-08
    0.161952576489224E-08
    0.166399221444890E-08
    0.170966989081828E-08
    0.175659165483362E-08
    0.180479125708421E-08
    0.185430336198285E-08
    0.190516357248415E-08
    0.195740845547091E-08
    0.201107556782699E-08
    0.206620348321496E-08
    0.212283181957775E-08
    0.218100126738371E-08
    0.224075361863537E-08
    0.230213179666235E-08
    0.236517988671969E-08
    0.242994316741347E-08
    0.249646814297583E-08
    0.256480257641264E-08
    0.263499552354717E-08
    0.270709736798409E-08
    0.278115985701869E-08
    0.285723613851676E-08
    0.293538079879146E-08
    0.301564990150414E-08
    0.309810102761664E-08
    0.318279331642363E-08
    0.326978750769420E-08
    0.335914598495247E-08
    0.345093281992825E-08
    0.354521381820922E-08
    0.364205656612714E-08
